time,temp_min_daily,temp_max_daily,temp_mean_daily,temp_grass_mean_daily,temp_soil_min_daily,temp_soil_max_daily,temp_soil_mean_daily,humidity_daily,wind_direction_daily,wind_gust_max_daily,wind_speed_daily,precip_total_daily,precip_duration_daily,radiation_global_daily,sunshine_duration_daily,KarupBro,ET0
2004-10-12,4.4,8.7,7.041666666666667,6.491666666666667,6.5,7.8,7.1375,72.95833333333333,138.04166666666666,16.2,6.895833333333333,0.0,0.0,2809.0,518.5,543.27,240.74635051255274
2004-10-13,5.5,10.3,7.795833333333333,7.325,6.3,8.0,7.141666666666667,74.91666666666667,138.91666666666666,13.1,6.133333333333333,0.0,0.0,2206.0,339.5,523.02,205.91690785827038
2004-10-14,8.1,10.2,8.987499999999999,8.766666666666667,7.5,8.8,8.141666666666667,80.75,128.75,12.5,6.241666666666667,0.0,0.0,2036.0,328.5,508.07,198.08462970873114
2004-10-15,8.1,10.0,8.799999999999999,8.533333333333333,8.1,8.8,8.3875,84.66666666666667,112.375,12.3,4.554166666666666,0.6,13.0,552.0,0.0,498.71,60.53705568898988
2004-10-16,7.8,10.9,9.133333333333333,8.833333333333334,8.5,9.6,8.983333333333333,89.04166666666667,126.45833333333331,10.6,3.3625000000000003,1.2000000000000002,14.0,1063.0,62.5,568.1,129.0421221394421
2004-10-17,7.7,9.7,8.708333333333334,8.533333333333333,8.7,9.2,8.9625,95.54166666666669,272.5833333333333,7.5,2.6041666666666665,7.1,84.0,308.0,0.0,1061.02,39.35572714217119
2004-10-18,6.6,9.4,8.241666666666667,7.975,8.4,9.2,8.970833333333333,90.54166666666669,276.4166666666667,10.1,3.404166666666667,2.5,27.0,483.0,0.0,3290.6,56.65683486238818
2004-10-19,2.5,13.7,7.0375000000000005,6.241666666666667,7.2,9.5,8.154166666666667,89.375,201.66666666666663,4.4,1.2416666666666667,0.1,1.0,2060.0,372.5,2594.99,283.6896076060478
2004-10-20,2.4,10.4,7.529166666666666,7.045833333333333,6.9,8.6,7.879166666666666,91.83333333333331,104.54166666666669,16.2,5.404166666666666,2.7,33.0,1230.0,163.0,1885.58,119.32642292569912
2004-10-21,9.3,13.5,11.225,10.883333333333333,8.6,9.9,9.225,83.375,196.375,21.2,7.254166666666666,6.5,61.0,1605.0,238.0,2457.79,160.37297645893216
2004-10-22,8.7,13.3,11.541666666666666,11.0375,8.7,10.0,9.308333333333334,84.04166666666667,225.375,21.2,8.333333333333334,9.0,66.0,691.0,37.0,3149.61,66.16946502645796
2004-10-23,12.6,14.6,13.266666666666666,12.875,9.9,11.3,10.733333333333334,89.75,241.41666666666663,17.1,6.829166666666667,11.9,114.0,484.0,10.0,4017.13,53.98393396502129
2004-10-24,11.8,14.8,12.758333333333333,12.383333333333333,10.9,11.9,11.208333333333334,94.29166666666669,229.54166666666663,6.7,2.75,2.3000000000000003,42.0,556.0,0.5,5504.46,80.2326106017245
2004-10-25,11.5,14.5,12.970833333333331,12.5875,11.0,11.8,11.354166666666666,86.91666666666667,211.58333333333331,20.4,7.395833333333333,4.6,45.0,810.0,72.5,4363.26,86.19844723858637
2004-10-26,2.6,12.5,9.266666666666667,8.325000000000001,8.6,11.0,10.295833333333333,83.45833333333333,250.54166666666663,13.4,4.2875000000000005,0.0,0.0,1873.0,367.0,3821.93,212.00705940138343
2004-10-27,2.1,11.5,6.229166666666667,5.758333333333333,7.4,9.0,8.108333333333333,87.20833333333333,80.66666666666667,10.2,1.325,0.0,0.0,1980.0,467.0,3071.24,262.7921312291993
2004-10-28,7.7,9.9,8.704166666666667,8.358333333333333,7.8,8.7,8.341666666666667,88.5,128.33333333333334,15.8,5.875,0.4,11.0,192.0,0.0,2391.82,19.357303448445766
2004-10-29,8.5,9.5,9.054166666666667,8.895833333333334,8.7,9.3,9.0125,95.95833333333331,97.0,9.6,2.5458333333333334,14.0,156.0,146.0,0.0,1992.34,19.03072035491707
2004-10-30,8.0,9.0,8.495833333333334,8.395833333333334,9.0,9.3,9.104166666666666,96.91666666666669,58.66666666666666,7.8,2.216666666666667,6.5,92.0,166.0,0.0,5022.52,21.83024058884201
2004-10-31,5.4,10.4,7.804166666666667,7.45,8.1,9.4,8.816666666666666,89.5,264.9166666666667,5.9,2.4458333333333333,0.0,0.0,1231.0,234.5,5533.3,154.3457528072686
2004-11-01,6.0,12.7,9.3375,9.016666666666667,7.9,9.4,8.579166666666667,88.29166666666667,273.125,5.9,1.9541666666666664,0.0,0.0,1322.0,233.5,4178.21,183.087938487935
2004-11-02,7.6,10.2,9.0,8.487499999999999,8.6,9.3,8.991666666666667,86.5,105.79166666666669,11.2,2.1958333333333333,0.0,0.0,331.0,0.0,3023.16,44.540055587550896
2004-11-03,7.2,9.5,8.841666666666667,8.254166666666666,8.3,9.1,8.670833333333333,91.5,165.16666666666666,16.8,4.966666666666667,0.3,4.0,187.0,0.0,2312.98,20.042869295998802
2004-11-04,7.0,11.2,9.270833333333334,8.85,8.3,9.3,8.7875,92.75,209.29166666666663,10.0,3.5125,0.9,10.0,272.0,2.5,1921.1,32.915684607275566
2004-11-05,4.9,9.0,6.633333333333333,6.029166666666666,7.0,8.4,7.808333333333334,86.25,270.5833333333333,15.2,4.729166666666667,4.7,55.0,875.0,143.5,1921.14,86.39014772141242
2004-11-06,2.3,9.8,6.175,5.308333333333334,6.0,7.1,6.570833333333333,81.29166666666667,309.0833333333333,8.9,3.020833333333333,0.0,0.0,1607.0,449.0,2248.01,179.7518916825726
2004-11-07,0.6,8.7,4.354166666666667,3.3708333333333336,4.9,6.3,5.604166666666667,85.79166666666667,194.29166666666663,4.0,1.05,0.0,0.0,1282.0,295.5,1981.08,164.18172879492053
2004-11-08,0.3,8.0,5.054166666666666,3.883333333333333,5.1,7.1,6.125,89.54166666666667,162.58333333333334,8.7,2.1125000000000003,2.5,42.0,666.0,14.5,1861.85,77.93658174155647
2004-11-09,-1.8,7.2,3.7916666666666665,3.154166666666667,4.1,5.6,4.9,89.66666666666667,74.58333333333333,6.6,1.85,0.5,10.0,1135.0,297.0,1718.4,129.8653939601975
2004-11-10,5.9,7.7,6.595833333333334,6.354166666666667,5.6,6.6,6.2250000000000005,94.33333333333331,106.04166666666669,10.8,3.4791666666666665,12.8,161.0,155.0,0.0,2950.52,17.030132810919405
2004-11-11,2.7,7.3,5.3375,4.945833333333334,5.9,6.6,6.258333333333333,88.20833333333333,215.625,10.7,3.045833333333333,0.4,8.0,937.0,160.0,4262.13,101.14867896819858
2004-11-12,3.6,11.3,8.25,7.7875,6.3,8.1,7.1625000000000005,89.875,261.4583333333333,18.5,6.7,7.6,67.0,217.0,0.5,3767.32,20.21338344503533
2004-11-13,-1.4,6.4,3.2583333333333333,2.0166666666666666,3.8,6.6,5.2875000000000005,77.625,307.6666666666667,11.6,2.983333333333333,0.0,0.0,1191.0,359.0,4148.92,118.78949217345368
2004-11-14,-2.5,9.3,4.070833333333334,3.15,2.7,5.3,3.675,86.41666666666667,259.75,13.5,4.179166666666666,0.0,0.0,1046.0,273.5,3174.86,96.72641214308983
2004-11-15,6.0,9.6,8.829166666666667,8.395833333333334,5.3,7.2,6.483333333333333,90.25,269.6666666666667,14.6,6.841666666666666,1.7,32.0,216.0,0.0,2593.07,20.404589450867515
2004-11-16,0.1,7.6,4.2250000000000005,3.4,4.3,6.5,5.45,82.66666666666667,282.2916666666667,10.1,3.4791666666666665,0.1,3.0,1160.0,375.0,2236.01,114.95942582880292
2004-11-17,-1.9,9.7,3.0125,2.208333333333333,3.3,5.3,4.091666666666667,92.75,222.66666666666663,16.5,3.2291666666666665,5.3,65.0,272.0,0.0,1980.0,26.287862450529836
2004-11-18,-2.0,6.8,3.6125,2.9,3.4,5.3,4.529166666666667,78.33333333333333,290.5833333333333,22.9,6.170833333333333,3.2,37.0,710.0,171.5,2546.43,55.25836245910137
2004-11-19,-2.7,2.8,-0.7000000000000001,-1.5,2.0,3.4,2.408333333333333,86.5,250.375,6.4,2.3833333333333333,0.0,0.0,1262.0,386.5,2391.67,112.2030119393613
2004-11-20,-3.3,3.3,-0.2125,-1.0583333333333331,1.5,2.0,1.7625,87.08333333333333,286.5416666666667,7.7,3.0041666666666664,0.1,2.0,1087.0,354.5,1922.4,92.45078124757238
2004-11-21,-5.6,3.7,-1.0916666666666666,-1.9416666666666669,1.0,1.5,1.1708333333333334,86.16666666666667,231.08333333333331,5.8,1.6375,0.4,11.0,1108.0,312.5,1556.06,105.70643560913939
2004-11-22,0.7,9.3,5.425,4.9875,1.0,4.0,2.2375000000000003,91.0,249.58333333333331,17.9,6.395833333333333,10.8,140.0,260.0,11.0,2824.62,21.713943702202286
2004-11-23,-2.0,5.0,2.779166666666667,1.820833333333333,2.0,3.7,2.825,74.70833333333333,296.25,13.2,4.2,0.0,0.0,546.0,90.0,4435.43,48.01310977995942
2004-11-24,-4.9,6.9,0.2458333333333333,-0.5833333333333334,1.2,2.1,1.4541666666666666,90.75,241.41666666666663,10.2,2.654166666666667,0.1,4.0,544.0,118.0,3308.55,49.11453883060346
2004-11-25,6.4,10.1,8.554166666666667,8.237499999999999,2.1,5.1,4.191666666666666,90.33333333333331,258.4166666666667,11.7,5.429166666666667,0.0,0.0,840.0,314.5,2613.64,85.0167707267317
2004-11-26,5.5,9.0,7.683333333333334,7.408333333333334,4.9,6.0,5.425,93.25,243.16666666666663,10.4,4.533333333333333,3.6,62.0,190.0,0.0,2219.92,20.00992533570895
2004-11-27,3.6,8.2,6.383333333333333,5.795833333333333,4.9,6.0,5.670833333333333,92.16666666666669,279.2083333333333,8.8,3.0083333333333333,0.3,6.0,673.0,172.0,2340.33,75.97399062796391
2004-11-28,4.1,6.4,5.173913043478261,4.552173913043478,4.7,5.3,4.978260869565218,94.69565217391305,212.56521739130437,5.3,1.3695652173913044,0.3,8.0,195.0,0.0,2203.15,24.84799496014227
2004-11-29,2.8,6.0,4.2,3.841666666666667,4.6,5.3,4.991666666666666,95.125,269.9166666666667,5.4,1.6666666666666667,0.1,4.0,397.0,35.5,1915.53,47.11695637482574
2004-11-30,3.2,5.4,4.3500000000000005,3.8541666666666665,4.5,5.0,4.679166666666666,90.91666666666669,220.08333333333331,6.9,2.3541666666666665,0.0,0.0,286.0,10.0,1672.64,31.848589381138435
2004-12-01,2.2,4.2,3.154166666666667,2.8666666666666667,4.3,4.7,4.5125,89.25,114.25,5.9,1.8708333333333331,1.3,24.0,224.0,1.0,1509.77,25.062323191388757
2004-12-02,2.1,7.2,3.9125,3.4625,3.9,4.6,4.2625,92.20833333333331,272.0,6.6,2.6666666666666665,1.1,14.0,736.0,241.5,1501.81,77.73562269888063
